"Task Type","Task ID","Task Name","Status","Task Content","Assignee","Priority","Latest Comment","Comment Count","Assigned Comment Count","Due Date","Start Date","Date Created","Date Updated","Date Closed","Date Done","Created By","Space","Folder","List","Subtask ID's","Subtask URL's","tags","Lists","Sprints","Linked Tasks","Linked Docs","Time Logged","Time Logged Rolled Up","Time Estimate","Time Estimate Rolled Up","Points Estimate","Points Estimate Rolled Up"
"Task","868ch8n39","Lembrete últimos dias promoção","complete","
","[Pedro Alberto de Lima]","none","",0,0,"Thursday, February 27th 2025","","Monday, February 10th 2025, 11:46:41 am -03:00","Thursday, February 27th 2025, 7:41:16 am -03:00","Thursday, February 27th 2025, 7:41:16 am -03:00","Thursday, February 27th 2025, 7:41:16 am -03:00","Pedro Alberto de Lima","Marketing","hidden","Email Marketing","[]","[]","[newsletter]","[Email Marketing]","[]","","","","","","",,0
"Task","868ch8nqp","Definir automações que devem ser criadas","complete","
","[Pedro Alberto de Lima]","NORMAL","",0,0,"","","Monday, February 10th 2025, 11:47:18 am -03:00","Wednesday, August 19th 2026, 3:54:40 pm -03:00","Monday, August 18th 2025, 8:52:24 am -03:00","Monday, August 18th 2025, 8:52:24 am -03:00","Pedro Alberto de Lima","Marketing","hidden","Sprint","[]","[]","","[Sprint]","[]","","","","","","",,0
"Task","868d3tc46","Parcial 2 Breu","complete","
","[Pedro Alberto de Lima]","none","",0,0,"Wednesday, March 19th 2025","","Tuesday, March 18th 2025, 12:36:52 am -03:00","Wednesday, March 19th 2025, 6:02:36 pm -03:00","Wednesday, March 19th 2025, 6:02:34 pm -03:00","Wednesday, March 19th 2025, 6:02:34 pm -03:00","Pedro Alberto de Lima","Marketing","hidden","Email Marketing","[]","[]","","[Email Marketing]","[]","","","","","","",,0
"Task","868d3tc4y","Grid x Teatro da mente PNP","complete","
","[Pedro Alberto de Lima]","none","",0,0,"Wednesday, March 26th 2025","","Tuesday, March 18th 2025, 12:37:26 am -03:00","Thursday, April 17th 2025, 2:29:42 pm -03:00","Thursday, April 17th 2025, 2:29:42 pm -03:00","Thursday, April 17th 2025, 2:29:42 pm -03:00","Pedro Alberto de Lima","Marketing","hidden","Email Marketing","[]","[]","","[Email Marketing]","[]","","","","","","",,0
"Task","868d3vzzk","Nova Parcial Breu","complete","
","[]","none","",0,0,"Wednesday, March 19th 2025","","Tuesday, March 18th 2025, 2:39:24 am -03:00","Wednesday, March 19th 2025, 6:02:32 pm -03:00","Wednesday, March 19th 2025, 6:02:32 pm -03:00","Wednesday, March 19th 2025, 6:02:32 pm -03:00","Pedro Alberto de Lima","Marketing","hidden","Redes Sociais","[]","[]","[breu, criativo]","[Redes Sociais]","[]","","","","","","",,0
"Task","868djqf3m","Você sabe o que é OSR?","complete","
","[]","none","",0,0,"Wednesday, April 30th 2025","","Thursday, April 17th 2025, 2:36:03 pm -03:00","Wednesday, April 30th 2025, 7:11:42 pm -03:00","Wednesday, April 30th 2025, 7:11:34 pm -03:00","Wednesday, April 30th 2025, 7:11:34 pm -03:00","Pedro Alberto de Lima","Marketing","hidden","Redes Sociais","[]","[]","[carrossel]","[Redes Sociais]","[]","","","","","","",,0
"Task","868djqf5f","BREU - Um OSR brasileiro","complete","
","[]","none","",0,0,"Tuesday, May 13th 2025","","Thursday, April 17th 2025, 2:36:10 pm -03:00","Wednesday, May 14th 2025, 1:24:30 pm -03:00","Wednesday, May 14th 2025, 1:24:30 pm -03:00","Wednesday, May 14th 2025, 1:24:30 pm -03:00","Pedro Alberto de Lima","Marketing","hidden","Redes Sociais","[]","[]","[carrossel]","[Redes Sociais]","[]","","","","","","",,0
"Task","868djqf98","Você sabe o que é OSR?","complete","No grátis da LUZ NEGRA você encontra o Principia Apocrypha e Quick Primer (pt/en).
Versão PT traduzida pela Regra da Casa.
","[]","none","",0,0,"Wednesday, April 23rd 2025","","Thursday, April 17th 2025, 2:36:27 pm -03:00","Thursday, April 24th 2025, 8:55:20 pm -03:00","Thursday, April 24th 2025, 8:55:20 pm -03:00","Thursday, April 24th 2025, 8:55:20 pm -03:00","Pedro Alberto de Lima","Marketing","hidden","Email Marketing","[]","[]","[newsletter]","[Email Marketing]","[]","","","","","","",,0
"Task","868djqf9v","BREU - Um OSR brasileiro","complete","
","[]","none","",0,0,"Wednesday, May 14th 2025","","Thursday, April 17th 2025, 2:36:33 pm -03:00","Tuesday, May 13th 2025, 6:45:07 am -03:00","Tuesday, May 13th 2025, 6:45:07 am -03:00","Tuesday, May 13th 2025, 6:45:07 am -03:00","Pedro Alberto de Lima","Marketing","hidden","Email Marketing","[]","[]","[newsletter]","[Email Marketing]","[]","","","","","","",,0
"Task","868djqm1w","PDF liberado para apoiadores","complete","
","[]","none","",0,0,"Wednesday, May 21st 2025","","Thursday, April 17th 2025, 2:43:57 pm -03:00","Thursday, May 22nd 2025, 3:06:30 pm -03:00","Thursday, May 22nd 2025, 3:06:30 pm -03:00","Thursday, May 22nd 2025, 3:06:30 pm -03:00","Pedro Alberto de Lima","Marketing","hidden","Email Marketing","[]","[]","[newsletter, breu]","[Email Marketing]","[]","","","","","","",,0
"Task","868djqm7e","PDF liberado para apoiadores","complete","Informar os apoiadores que o PDF do BREU está liberado para download e que foi enviado para a gráfica
","[]","none","",0,0,"Wednesday, May 21st 2025","","Thursday, April 17th 2025, 2:44:10 pm -03:00","Thursday, May 22nd 2025, 3:06:28 pm -03:00","Thursday, May 22nd 2025, 3:06:28 pm -03:00","Thursday, May 22nd 2025, 3:06:28 pm -03:00","Pedro Alberto de Lima","Marketing","hidden","Redes Sociais","[]","[]","[criativo, breu]","[Redes Sociais]","[]","","","","","","",,0
"Task","868djqpaq","Fotos dos testes de impressão","complete","
","[]","none","",0,0,"Friday, April 25th 2025","","Thursday, April 17th 2025, 2:46:55 pm -03:00","Friday, April 25th 2025, 5:37:45 pm -03:00","Friday, April 25th 2025, 5:37:45 pm -03:00","Friday, April 25th 2025, 5:37:45 pm -03:00","Pedro Alberto de Lima","Marketing","hidden","Redes Sociais","[]","[]","[breu, criativo]","[Redes Sociais]","[]","","","","","","",,0
"Task","868djqxug","Luz Negra no DOFF","complete","
","[]","none","",0,0,"Wednesday, May 28th 2025","","Thursday, April 17th 2025, 2:55:35 pm -03:00","Monday, May 26th 2025, 2:19:39 pm -03:00","Monday, May 26th 2025, 2:19:39 pm -03:00","Monday, May 26th 2025, 2:19:39 pm -03:00","Pedro Alberto de Lima","Marketing","hidden","Email Marketing","[]","[]","[newsletter]","[Email Marketing]","[]","","","","","","",,0
"Task","868djr80q","Lançamento do BREU no DOFF","complete","Já temos uma copia do livro pra usar?

ROTEIRO

[INTRO]
Temos alguns anúncios sobre o Breu!
Isso aí, a hora finalmente chegou.

[APOIADORES]
O primeiro é pra quem participou do financiamento coletivo!
Se você tá ansioso pra receber essa belezinha aqui e vai estar no DOFF, você pode passar no nosso estande para retirar o seu livro.
Então se você vai no evento, já se programa pra pegar o seu e bater um papo com a gente.

[VENDA GERAL]
Agora, o segundo aviso é para todos aqueles que não participaram do financiamento.
Exclusivamente no DOFF, você vai poder comprar o Breu antes de todo mundo. 
Se você não conseguiu participar do financiamento ou embarcou nessa jornada um pouco mais tarde, esse é o momento pra aproveitar!
Passa no nosso estande pra garantir o seu e aproveita pra economizar com o frete.

[FINALIZAÇÃO]
Esperamos vocês por lá!
Ah, e pra quem não vai estar no DOFF, não precisa se preocupar.
Em breve vamos soltar mais informações sobre o envio dos apoios e da venda geral.
Então fiquem ligados por aqui e na nossa newsletter!




","[]","none","",0,0,"Thursday, June 19th 2025","","Thursday, April 17th 2025, 3:08:23 pm -03:00","Tuesday, June 24th 2025, 2:09:40 pm -03:00","Tuesday, June 24th 2025, 2:09:40 pm -03:00","Tuesday, June 24th 2025, 2:09:40 pm -03:00","Pedro Alberto de Lima","Marketing","hidden","Redes Sociais","[]","[]","[breu, reels]","[Redes Sociais]","[]","","","","","","",,0
"Task","868djr9ja","Mesa Conspirações - Aniversário DOFF","complete","
","[]","none","",0,0,"Monday, May 5th 2025","","Thursday, April 17th 2025, 3:11:10 pm -03:00","Friday, May 9th 2025, 12:25:20 am -03:00","Friday, May 9th 2025, 12:25:19 am -03:00","Friday, May 9th 2025, 12:25:19 am -03:00","Pedro Alberto de Lima","Marketing","hidden","Redes Sociais","[]","[]","[reels, conspirações]","[Redes Sociais]","[]","","","","","","",,0
"Task","868dz6fzw","Caixinha de perguntas Breu","complete","
","[]","none","",0,0,"Thursday, May 29th 2025","","Thursday, May 15th 2025, 10:50:21 am -03:00","Thursday, May 29th 2025, 11:51:18 pm -03:00","Thursday, May 29th 2025, 11:51:18 pm -03:00","Thursday, May 29th 2025, 11:51:18 pm -03:00","Pedro Alberto de Lima","Marketing","hidden","Redes Sociais","[]","[]","[stories, breu]","[Redes Sociais]","[]","","","","","","",,0
"Task","868e48hqj","Ilustradores 1 - Breu","complete","
","[]","none","",0,0,"Wednesday, May 28th 2025","","Tuesday, May 27th 2025, 11:43:31 pm -03:00","Wednesday, May 28th 2025, 5:34:18 pm -03:00","Wednesday, May 28th 2025, 5:34:18 pm -03:00","Wednesday, May 28th 2025, 5:34:18 pm -03:00","Pedro Alberto de Lima","Marketing","hidden","Redes Sociais","[]","[]","","[Redes Sociais]","[]","","","","","","",,0
"Task","868e504ed","Ilustradores 2 Breu","complete","
","[]","none","LEGENDA     Continuando a saga da galera que deu vida ao Breu, hoje é dia de falar do tio Bob!     Apesar de ser o mais silencioso, nada disso seria possível sem ele.     Segue o homi aí @mrrobz!   ",2,0,"Tuesday, June 10th 2025","","Thursday, May 29th 2025, 11:21:15 am -03:00","Monday, June 30th 2025, 11:11:12 am -03:00","Monday, June 30th 2025, 11:11:12 am -03:00","Monday, June 30th 2025, 11:11:12 am -03:00","Pedro Alberto de Lima","Marketing","hidden","Sprint","[]","[]","[breu, carrossel]","[Sprint]","[]","","","","","","",,0
"Task","868e9g2ec","Pre-lançamento Breu no DOFF","complete","
","[]","none","",0,0,"Wednesday, June 11th 2025","","Sunday, June 8th 2025, 6:51:28 pm -03:00","Monday, June 30th 2025, 11:11:10 am -03:00","Monday, June 30th 2025, 11:11:10 am -03:00","Monday, June 30th 2025, 11:11:10 am -03:00","Pedro Alberto de Lima","Marketing","hidden","Email Marketing","[]","[]","[newsletter]","[Email Marketing]","[]","","","","","","",,0
"Task","868ech9rh","[Reels] Encadernação Breu","complete","
","[]","none","",0,0,"Sunday, June 15th 2025","","Sunday, June 15th 2025, 1:47:48 pm -03:00","Sunday, June 15th 2025, 1:47:59 pm -03:00","Sunday, June 15th 2025, 1:47:59 pm -03:00","Sunday, June 15th 2025, 1:47:59 pm -03:00","Pedro Alberto de Lima","Marketing","hidden","Redes Sociais","[]","[]","[breu, reels]","[Redes Sociais]","[]","","","","","","",,0
"Task","868ech9t8","[DOFF] Estande Luz Negra","complete","
","[]","none","",0,0,"Tuesday, June 17th 2025","","Sunday, June 15th 2025, 1:48:46 pm -03:00","Tuesday, June 17th 2025, 5:35:25 pm -03:00","Tuesday, June 17th 2025, 5:35:25 pm -03:00","Tuesday, June 17th 2025, 5:35:25 pm -03:00","Pedro Alberto de Lima","Marketing","hidden","Redes Sociais","[]","[]","[criativo]","[Redes Sociais]","[]","","","","","","",,0
"Task","868egf6ba","Dump DOFF","complete","
","[]","none","",0,0,"Tuesday, June 24th 2025","","Tuesday, June 24th 2025, 2:40:53 pm -03:00","Tuesday, June 24th 2025, 7:09:17 pm -03:00","Tuesday, June 24th 2025, 7:09:17 pm -03:00","Tuesday, June 24th 2025, 7:09:17 pm -03:00","Pedro Alberto de Lima","Marketing","hidden","Redes Sociais","[]","[]","[carrossel]","[Redes Sociais]","[]","","","","","","",,0
"Task","868egf6j9","Breu vendas abertas","complete","
","[]","none","",0,0,"Monday, June 30th 2025","","Tuesday, June 24th 2025, 2:41:20 pm -03:00","Wednesday, July 2nd 2025, 4:40:30 pm -03:00","Wednesday, July 2nd 2025, 4:40:30 pm -03:00","Wednesday, July 2nd 2025, 4:40:30 pm -03:00","Pedro Alberto de Lima","Marketing","hidden","Redes Sociais","[]","[]","[carrossel, breu]","[Redes Sociais]","[]","","","","","","",,0
"Task","868ejvwc8","Vendas abertas BREU","complete","
","[]","none","",0,0,"Monday, June 30th 2025","","Monday, June 30th 2025, 11:10:54 am -03:00","Monday, June 30th 2025, 11:11:03 am -03:00","Monday, June 30th 2025, 11:11:03 am -03:00","Monday, June 30th 2025, 11:11:03 am -03:00","Pedro Alberto de Lima","Marketing","hidden","Email Marketing","[]","[]","[newsletter]","[Email Marketing]","[]","","","","","","",,0
"Task","868ejvx5b","Frete liberado para apoiadores BREU","complete","
","[]","none","",0,0,"Wednesday, June 18th 2025","","Monday, June 30th 2025, 11:11:45 am -03:00","Monday, June 30th 2025, 11:11:56 am -03:00","Monday, June 30th 2025, 11:11:56 am -03:00","Monday, June 30th 2025, 11:11:56 am -03:00","Pedro Alberto de Lima","Marketing","hidden","Email Marketing","[]","[]","[newsletter]","[Email Marketing]","[]","","","","","","",,0
"Task","868enzb16","Boxing BREU","complete","
","[]","none","",0,0,"Friday, July 18th 2025","","Monday, July 7th 2025, 8:40:49 pm -03:00","Wednesday, July 30th 2025, 6:14:40 pm -03:00","Wednesday, July 30th 2025, 6:14:40 pm -03:00","Wednesday, July 30th 2025, 6:14:40 pm -03:00","Pedro Alberto de Lima","Marketing","hidden","Redes Sociais","[]","[]","[reels]","[Redes Sociais]","[]","","","","","","",,0
"Task","868eq1j50","Ilustradores 3 - Robson","complete","
","[]","none","",0,0,"Wednesday, July 30th 2025","","Wednesday, July 9th 2025, 8:01:35 pm -03:00","Wednesday, July 30th 2025, 6:14:50 pm -03:00","Wednesday, July 30th 2025, 6:14:50 pm -03:00","Wednesday, July 30th 2025, 6:14:50 pm -03:00","Pedro Alberto de Lima","Marketing","hidden","Redes Sociais","[]","[]","[carrossel]","[Redes Sociais]","[]","","","","","","",,0
"Task","868eq3cqh","Email - Aniversário Câmara Obscura","complete","
","[Pedro Alberto de Lima]","none","",0,0,"Friday, July 11th 2025","","Thursday, July 10th 2025, 1:02:05 am -03:00","Friday, July 11th 2025, 2:36:16 pm -03:00","Friday, July 11th 2025, 2:36:16 pm -03:00","Friday, July 11th 2025, 2:36:16 pm -03:00","Pedro Alberto de Lima","Marketing","hidden","Email Marketing","[]","[]","[newsletter]","[Email Marketing]","[]","","","","","","",,0
"Task","868eq3cqx","Email - Cu do mundo","backlog","Já pensou em seu inimigo ser o... cu do mundo?

Incluir que vamos estar no Rio para o Iniciativa em agosto ao final.
","[Pedro Alberto de Lima]","none","",0,0,"","","Thursday, July 10th 2025, 1:02:05 am -03:00","Wednesday, October 29th 2025, 12:26:25 am -03:00","","","Pedro Alberto de Lima","Marketing","hidden","Email Marketing","[]","[]","[breu, newsletter]","[Email Marketing]","[]","","","","","","",,0
"Task","868eq3crr","Email - Fastplay e fichas","complete","Se você quer conhecer o Breu
Ou quer apresentar ele pra aquele amigo que não sabe o que tá perdendo

Incluir que vamos estar no Rio para o Iniciativa em agosto ao final.

","[Pedro Alberto de Lima]","none","Alterar antes de enviar:   Link correto com UTM   23%20-%20Fastplay.png  ",1,0,"Thursday, August 28th 2025","","Thursday, July 10th 2025, 1:02:07 am -03:00","Wednesday, August 27th 2025, 11:34:20 am -03:00","Wednesday, August 27th 2025, 11:34:20 am -03:00","Wednesday, August 27th 2025, 11:34:20 am -03:00","Pedro Alberto de Lima","Marketing","hidden","Email Marketing","[]","[]","[breu, newsletter]","[Email Marketing]","[]","","","","","","",,0
"Task","868eq3ctb","Email - Classes do BREU","complete","Entenda o sistema de classes e heranças que criamos para o BREU.

","[Pedro Alberto de Lima]","none","",0,0,"Thursday, July 17th 2025","","Thursday, July 10th 2025, 1:02:08 am -03:00","Thursday, July 17th 2025, 1:02:15 pm -03:00","Thursday, July 17th 2025, 1:02:15 pm -03:00","Thursday, July 17th 2025, 1:02:15 pm -03:00","Pedro Alberto de Lima","Marketing","hidden","Email Marketing","[]","[]","[breu, newsletter]","[Email Marketing]","[]","","","","","","",,0
